id,siCardNumber,twentyFourHour,weekDay,fourWeekCounter,twelveHourTimer,subSecond,origFromNode,radioMessageId,createdDate
4656,119,1,1,0,36000,0,1,2964,"2016-03-06 22:05:54.734955"
4862,119,1,1,0,36000,0,1,3067,"2016-03-06 22:11:42.910652"
2576,120,1,1,0,36000,0,1,1924,"2016-03-06 21:05:21.459280"
2782,120,1,1,0,36000,0,1,2027,"2016-03-06 21:11:32.280155"
2990,120,1,1,0,36000,0,1,2131,"2016-03-06 21:17:51.952502"
3215,120,1,1,0,36000,0,1,2244,"2016-03-06 21:24:31.885769"
3455,120,1,1,0,36000,0,1,2364,"2016-03-06 21:31:25.822175"
3704,120,1,1,0,36000,0,1,2488,"2016-03-06 21:38:27.498772"
3938,120,1,1,0,36000,0,1,2605,"2016-03-06 21:45:17.251739"
4187,120,1,1,0,36000,0,1,2730,"2016-03-06 21:52:19.334802"
4438,120,1,1,0,36000,0,1,2855,"2016-03-06 21:59:23.216446"
4654,120,1,1,0,36000,0,1,2963,"2016-03-06 22:05:51.132838"
2575,121,1,1,0,36000,0,1,1924,"2016-03-06 21:05:21.436668"
2781,121,1,1,0,36000,0,1,2027,"2016-03-06 21:11:32.258298"
2989,121,1,1,0,36000,0,1,2131,"2016-03-06 21:17:51.930845"
3218,121,1,1,0,36000,0,1,2245,"2016-03-06 21:24:35.319199"
3458,121,1,1,0,36000,0,1,2365,"2016-03-06 21:31:29.972819"
3703,121,1,1,0,36000,0,1,2488,"2016-03-06 21:38:27.477665"
3937,121,1,1,0,36000,0,1,2605,"2016-03-06 21:45:17.230131"
4190,121,1,1,0,36000,0,1,2731,"2016-03-06 21:52:22.634708"
4437,121,1,1,0,36000,0,1,2855,"2016-03-06 21:59:23.192466"
4653,121,1,1,0,36000,0,1,2963,"2016-03-06 22:05:51.111212"
2784,122,1,1,0,36000,0,1,2028,"2016-03-06 21:11:36.078350"
3217,122,1,1,0,36000,0,1,2245,"2016-03-06 21:24:35.297795"
3457,122,1,1,0,36000,0,1,2365,"2016-03-06 21:31:29.951132"
3706,122,1,1,0,36000,0,1,2489,"2016-03-06 21:38:30.835179"
3940,122,1,1,0,36000,0,1,2606,"2016-03-06 21:45:20.604904"
4189,122,1,1,0,36000,0,1,2731,"2016-03-06 21:52:22.611795"
4440,122,1,1,0,36000,0,1,2856,"2016-03-06 21:59:26.610966"
4655,122,1,1,0,36000,0,1,2964,"2016-03-06 22:05:54.713550"
4813,122,1,1,0,36000,0,1,3043,"2016-03-06 22:10:22.740138"
4911,122,1,1,0,36000,0,1,3092,"2016-03-06 22:13:06.308132"
2578,123,1,1,0,36000,0,1,1925,"2016-03-06 21:05:24.736717"
2783,123,1,1,0,36000,0,1,2028,"2016-03-06 21:11:36.056957"
2992,123,1,1,0,36000,0,1,2132,"2016-03-06 21:17:55.250761"
3220,123,1,1,0,36000,0,1,2246,"2016-03-06 21:24:38.632051"
3705,123,1,1,0,36000,0,1,2489,"2016-03-06 21:38:30.813582"
3939,123,1,1,0,36000,0,1,2606,"2016-03-06 21:45:20.582477"
4192,123,1,1,0,36000,0,1,2732,"2016-03-06 21:52:26.005495"
4439,123,1,1,0,36000,0,1,2856,"2016-03-06 21:59:26.586265"
4686,123,1,1,0,36000,0,1,2979,"2016-03-06 22:06:48.959746"
4768,123,1,1,0,36000,0,1,3020,"2016-03-06 22:09:05.950111"
2577,124,1,1,0,36000,0,1,1925,"2016-03-06 21:05:24.713977"
2991,124,1,1,0,36000,0,1,2132,"2016-03-06 21:17:55.226078"
3219,124,1,1,0,36000,0,1,2246,"2016-03-06 21:24:38.610080"
3460,124,1,1,0,36000,0,1,2366,"2016-03-06 21:31:33.381742"
3708,124,1,1,0,36000,0,1,2490,"2016-03-06 21:38:34.175258"
3942,124,1,1,0,36000,0,1,2607,"2016-03-06 21:45:23.958774"
4191,124,1,1,0,36000,0,1,2732,"2016-03-06 21:52:25.982711"
4442,124,1,1,0,36000,0,1,2857,"2016-03-06 21:59:29.901841"
4660,124,1,1,0,36000,0,1,2966,"2016-03-06 22:06:02.017685"
4861,124,1,1,0,36000,0,1,3067,"2016-03-06 22:11:42.887232"
2580,125,1,1,0,36000,0,1,1926,"2016-03-06 21:05:28.722390"
2786,125,1,1,0,36000,0,1,2029,"2016-03-06 21:11:39.461294"
2994,125,1,1,0,36000,0,1,2133,"2016-03-06 21:17:58.661601"
3222,125,1,1,0,36000,0,1,2247,"2016-03-06 21:24:41.949880"
3459,125,1,1,0,36000,0,1,2366,"2016-03-06 21:31:33.360363"
3707,125,1,1,0,36000,0,1,2490,"2016-03-06 21:38:34.152904"
3941,125,1,1,0,36000,0,1,2607,"2016-03-06 21:45:23.938224"
4194,125,1,1,0,36000,0,1,2733,"2016-03-06 21:52:29.383633"
4441,125,1,1,0,36000,0,1,2857,"2016-03-06 21:59:29.878147"
4658,125,1,1,0,36000,0,1,2965,"2016-03-06 22:05:58.529052"
2579,126,1,1,0,36000,0,1,1926,"2016-03-06 21:05:28.701001"
2785,126,1,1,0,36000,0,1,2029,"2016-03-06 21:11:39.439434"
2993,126,1,1,0,36000,0,1,2133,"2016-03-06 21:17:58.641330"
3221,126,1,1,0,36000,0,1,2247,"2016-03-06 21:24:41.927192"
3462,126,1,1,0,36000,0,1,2367,"2016-03-06 21:31:36.710016"
3710,126,1,1,0,36000,0,1,2491,"2016-03-06 21:38:37.512064"
3944,126,1,1,0,36000,0,1,2608,"2016-03-06 21:45:27.315161"
4193,126,1,1,0,36000,0,1,2733,"2016-03-06 21:52:29.361956"
4444,126,1,1,0,36000,0,1,2858,"2016-03-06 21:59:33.285424"
4657,126,1,1,0,36000,0,1,2965,"2016-03-06 22:05:58.506606"
2788,127,1,1,0,36000,0,1,2030,"2016-03-06 21:11:43.259473"
2996,127,1,1,0,36000,0,1,2134,"2016-03-06 21:18:01.970706"
3224,127,1,1,0,36000,0,1,2248,"2016-03-06 21:24:45.260735"
3461,127,1,1,0,36000,0,1,2367,"2016-03-06 21:31:36.686427"
3709,127,1,1,0,36000,0,1,2491,"2016-03-06 21:38:37.489545"
3943,127,1,1,0,36000,0,1,2608,"2016-03-06 21:45:27.292604"
4196,127,1,1,0,36000,0,1,2734,"2016-03-06 21:52:32.649910"
4443,127,1,1,0,36000,0,1,2858,"2016-03-06 21:59:33.260641"
4659,127,1,1,0,36000,0,1,2966,"2016-03-06 22:06:01.997439"
4910,127,1,1,0,36000,0,1,3091,"2016-03-06 22:13:03.020802"
2582,128,1,1,0,36000,0,1,1927,"2016-03-06 21:05:32.105555"
2787,128,1,1,0,36000,0,1,2030,"2016-03-06 21:11:43.236063"
2995,128,1,1,0,36000,0,1,2134,"2016-03-06 21:18:01.946561"
3223,128,1,1,0,36000,0,1,2248,"2016-03-06 21:24:45.238943"
3464,128,1,1,0,36000,0,1,2368,"2016-03-06 21:31:39.983943"
3712,128,1,1,0,36000,0,1,2492,"2016-03-06 21:38:40.852263"
3946,128,1,1,0,36000,0,1,2609,"2016-03-06 21:45:31.466069"
4195,128,1,1,0,36000,0,1,2734,"2016-03-06 21:52:32.628648"
4446,128,1,1,0,36000,0,1,2859,"2016-03-06 21:59:36.567228"
4685,128,1,1,0,36000,0,1,2979,"2016-03-06 22:06:48.936958"
2581,129,1,1,0,36000,0,1,1927,"2016-03-06 21:05:32.082391"
2998,129,1,1,0,36000,0,1,2135,"2016-03-06 21:18:05.274254"
3226,129,1,1,0,36000,0,1,2249,"2016-03-06 21:24:48.673790"
3463,129,1,1,0,36000,0,1,2368,"2016-03-06 21:31:39.961000"
3711,129,1,1,0,36000,0,1,2492,"2016-03-06 21:38:40.829828"
3945,129,1,1,0,36000,0,1,2609,"2016-03-06 21:45:31.443909"
4198,129,1,1,0,36000,0,1,2735,"2016-03-06 21:52:36.021645"
4445,129,1,1,0,36000,0,1,2859,"2016-03-06 21:59:36.544827"
4684,129,1,1,0,36000,0,1,2978,"2016-03-06 22:06:45.663141"
4860,129,1,1,0,36000,0,1,3066,"2016-03-06 22:11:39.503244"
2584,130,1,1,0,36000,0,1,1928,"2016-03-06 21:05:35.788837"
2790,130,1,1,0,36000,0,1,2031,"2016-03-06 21:11:46.655583"
2997,130,1,1,0,36000,0,1,2135,"2016-03-06 21:18:05.250543"
3225,130,1,1,0,36000,0,1,2249,"2016-03-06 21:24:48.649608"
3466,130,1,1,0,36000,0,1,2369,"2016-03-06 21:31:43.351003"
3714,130,1,1,0,36000,0,1,2493,"2016-03-06 21:38:44.190250"
4197,130,1,1,0,36000,0,1,2735,"2016-03-06 21:52:35.999815"
4448,130,1,1,0,36000,0,1,2860,"2016-03-06 21:59:39.951008"
4662,130,1,1,0,36000,0,1,2967,"2016-03-06 22:06:06.113883"
4737,130,1,1,0,36000,0,1,3005,"2016-03-06 22:08:15.804188"
2583,131,1,1,0,36000,0,1,1928,"2016-03-06 21:05:35.765687"
2789,131,1,1,0,36000,0,1,2031,"2016-03-06 21:11:46.633709"
3000,131,1,1,0,36000,0,1,2136,"2016-03-06 21:18:08.687273"
3228,131,1,1,0,36000,0,1,2250,"2016-03-06 21:24:52.009843"
3465,131,1,1,0,36000,0,1,2369,"2016-03-06 21:31:43.330679"
3713,131,1,1,0,36000,0,1,2493,"2016-03-06 21:38:44.168229"
3948,131,1,1,0,36000,0,1,2610,"2016-03-06 21:45:34.924330"
4200,131,1,1,0,36000,0,1,2736,"2016-03-06 21:52:39.393732"
4447,131,1,1,0,36000,0,1,2860,"2016-03-06 21:59:39.928619"
4661,131,1,1,0,36000,0,1,2967,"2016-03-06 22:06:06.092002"
2792,132,1,1,0,36000,0,1,2032,"2016-03-06 21:11:50.651598"
2999,132,1,1,0,36000,0,1,2136,"2016-03-06 21:18:08.665650"
3227,132,1,1,0,36000,0,1,2250,"2016-03-06 21:24:51.988291"
3468,132,1,1,0,36000,0,1,2370,"2016-03-06 21:31:46.675103"
3716,132,1,1,0,36000,0,1,2494,"2016-03-06 21:38:47.533569"
3947,132,1,1,0,36000,0,1,2610,"2016-03-06 21:45:34.902286"
4199,132,1,1,0,36000,0,1,2736,"2016-03-06 21:52:39.371117"
4450,132,1,1,0,36000,0,1,2861,"2016-03-06 21:59:43.331468"
4664,132,1,1,0,36000,0,1,2968,"2016-03-06 22:06:09.510620"
4909,132,1,1,0,36000,0,1,3091,"2016-03-06 22:13:02.998759"
2586,133,1,1,0,36000,0,1,1929,"2016-03-06 21:05:39.173766"
2791,133,1,1,0,36000,0,1,2032,"2016-03-06 21:11:50.630054"
3002,133,1,1,0,36000,0,1,2137,"2016-03-06 21:18:12.690624"
3230,133,1,1,0,36000,0,1,2251,"2016-03-06 21:24:55.341299"
3467,133,1,1,0,36000,0,1,2370,"2016-03-06 21:31:46.652568"
3715,133,1,1,0,36000,0,1,2494,"2016-03-06 21:38:47.509953"
3950,133,1,1,0,36000,0,1,2611,"2016-03-06 21:45:38.276172"
4202,133,1,1,0,36000,0,1,2737,"2016-03-06 21:52:42.748392"
4449,133,1,1,0,36000,0,1,2861,"2016-03-06 21:59:43.308577"
4663,133,1,1,0,36000,0,1,2968,"2016-03-06 22:06:09.488240"
2585,134,1,1,0,36000,0,1,1929,"2016-03-06 21:05:39.151236"
3001,134,1,1,0,36000,0,1,2137,"2016-03-06 21:18:12.668515"
3229,134,1,1,0,36000,0,1,2251,"2016-03-06 21:24:55.320290"
3470,134,1,1,0,36000,0,1,2371,"2016-03-06 21:31:50.819621"
3718,134,1,1,0,36000,0,1,2495,"2016-03-06 21:38:50.883114"
3949,134,1,1,0,36000,0,1,2611,"2016-03-06 21:45:38.253820"
4201,134,1,1,0,36000,0,1,2737,"2016-03-06 21:52:42.726365"
4452,134,1,1,0,36000,0,1,2862,"2016-03-06 21:59:46.608921"
4683,134,1,1,0,36000,0,1,2978,"2016-03-06 22:06:45.640703"
4859,134,1,1,0,36000,0,1,3066,"2016-03-06 22:11:39.481595"
2588,135,1,1,0,36000,0,1,1930,"2016-03-06 21:05:42.958447"
2794,135,1,1,0,36000,0,1,2033,"2016-03-06 21:11:54.042021"
3232,135,1,1,0,36000,0,1,2252,"2016-03-06 21:24:58.645362"
3469,135,1,1,0,36000,0,1,2371,"2016-03-06 21:31:50.793829"
3717,135,1,1,0,36000,0,1,2495,"2016-03-06 21:38:50.861239"
3952,135,1,1,0,36000,0,1,2612,"2016-03-06 21:45:41.630403"
4204,135,1,1,0,36000,0,1,2738,"2016-03-06 21:52:46.015792"
4451,135,1,1,0,36000,0,1,2862,"2016-03-06 21:59:46.588164"
4666,135,1,1,0,36000,0,1,2969,"2016-03-06 22:06:13.409375"
4812,135,1,1,0,36000,0,1,3042,"2016-03-06 22:10:19.358951"
2587,136,1,1,0,36000,0,1,1930,"2016-03-06 21:05:42.935822"
2793,136,1,1,0,36000,0,1,2033,"2016-03-06 21:11:54.020235"
3004,136,1,1,0,36000,0,1,2138,"2016-03-06 21:18:16.087052"
3231,136,1,1,0,36000,0,1,2252,"2016-03-06 21:24:58.622038"
3720,136,1,1,0,36000,0,1,2496,"2016-03-06 21:38:54.225250"
3951,136,1,1,0,36000,0,1,2612,"2016-03-06 21:45:41.608566"
4203,136,1,1,0,36000,0,1,2738,"2016-03-06 21:52:45.993280"
4454,136,1,1,0,36000,0,1,2863,"2016-03-06 21:59:49.988440"
4665,136,1,1,0,36000,0,1,2969,"2016-03-06 22:06:13.387201"
4767,136,1,1,0,36000,0,1,3020,"2016-03-06 22:09:05.927053"
2796,137,1,1,0,36000,0,1,2034,"2016-03-06 21:11:57.728811"
3003,137,1,1,0,36000,0,1,2138,"2016-03-06 21:18:16.065511"
3234,137,1,1,0,36000,0,1,2253,"2016-03-06 21:25:01.971038"
3472,137,1,1,0,36000,0,1,2372,"2016-03-06 21:31:54.173502"
3719,137,1,1,0,36000,0,1,2496,"2016-03-06 21:38:54.204951"
3954,137,1,1,0,36000,0,1,2613,"2016-03-06 21:45:45.779649"
